fecha,temperatura interior (ºC),monóxido de nitrogeno (µg/m³) ,dióxido de nitrogeno (µg/m³),ozono (µg/m³),ozono quimioluminiscente (µg/m³),velocidad del viento (m/s),dirección del viento (Grd),temperatura (ºC),humedad relativa (%),presión (mbar),radiación solar (W/m²),precipitaciones (l/m²)
22/10/2016 14:00,18.9,3.0,11.0,42.0,41.0,1.6,186,16.3,83,940,142,0.0
22/10/2016 13:00,18.7,6.0,20.0,29.0,30.0,1.7,191,15.4,90,940,209,0.6
22/10/2016 12:00,18.6,10.0,27.0,28.0,28.0,1.5,170,14.8,89,941,130,0.0
22/10/2016 11:00,18.6,6.0,22.0,35.0,34.0,1.4,182,14.2,90,941,120,0.0
22/10/2016 10:00,18.5,7.0,22.0,35.0,34.0,1.2,191,13.7,92,941,106,0.2
22/10/2016 09:00,18.9,14.0,35.0,19.0,19.0,0.4,322,13.6,93,941,60,0.6
22/10/2016 08:00,19.8,7.0,23.0,27.0,27.0,1.1,181,13.4,93,941,21,0.0
22/10/2016 07:00,18.4,5.0,20.0,24.0,24.0,1.1,184,13.7,91,941,4,0.2
22/10/2016 06:00,18.5,4.0,22.0,16.0,17.0,1.3,203,14.0,90,941,3,0.0
22/10/2016 05:00,18.6,7.0,26.0,9.0,10.0,1.2,184,14.4,90,941,3,0.0
22/10/2016 04:00,18.6,7.0,28.0,10.0,11.0,0.9,192,14.6,90,942,3,0.0
22/10/2016 03:00,18.6,11.0,35.0,5.0,6.0,0.7,194,14.6,91,942,3,0.0
22/10/2016 02:00,18.7,41.0,42.0,1.0,2.0,0.3,179,14.6,92,942,3,0.0
22/10/2016 01:00,18.7,54.0,48.0,1.0,1.0,0.4,234,14.8,92,942,3,0.0
22/10/2016 00:00,18.8,50.0,46.0,1.0,1.0,0.3,57,14.8,92,942,3,0.0
21/10/2016 23:00,18.9,54.0,52.0,1.0,1.0,0.1,90,14.8,91,943,3,0.0
21/10/2016 22:00,19.1,53.0,61.0,1.0,1.0,0.5,74,15.1,90,943,3,0.2
21/10/2016 21:00,18.9,66.0,74.0,1.0,1.0,0.7,21,15.8,84,943,3,1.8
21/10/2016 20:00,18.9,111.0,80.0,1.0,1.0,0.4,33,17.0,77,943,3,0.0
21/10/2016 19:00,19.1,113.0,76.0,5.0,4.0,0.2,89,17.5,76,943,2,0.0
21/10/2016 18:00,19.3,25.0,67.0,17.0,17.0,0.2,248,18.1,69,943,9,0.0
21/10/2016 17:00,19.4,10.0,32.0,53.0,51.0,0.3,218,18.7,66,943,80,0.0
21/10/2016 16:00,19.4,8.0,20.0,61.0,60.0,0.9,247,19.1,63,943,207,0.0
21/10/2016 15:00,19.4,20.0,30.0,42.0,41.0,0.7,116,18.8,66,943,257,0.0
21/10/2016 14:00,19.1,22.0,29.0,38.0,37.0,0.9,92,18.3,68,944,510,0.0
21/10/2016 13:00,18.6,36.0,42.0,24.0,24.0,1.0,50,16.6,73,944,272,0.0
21/10/2016 12:00,18.4,33.0,38.0,21.0,22.0,1.2,73,15.1,77,945,278,0.0
21/10/2016 11:00,18.4,36.0,37.0,18.0,18.0,1.5,48,13.8,80,945,234,0.0
21/10/2016 10:00,18.4,57.0,44.0,10.0,11.0,1.7,49,12.6,81,945,215,0.0
21/10/2016 09:00,18.4,73.0,53.0,4.0,5.0,1.6,46,11.5,85,945,88,0.0
21/10/2016 08:00,18.5,51.0,50.0,2.0,4.0,1.3,47,10.9,86,945,29,0.0
21/10/2016 07:00,18.4,40.0,49.0,4.0,5.0,1.3,63,10.6,83,945,5,0.0
21/10/2016 06:00,18.5,21.0,44.0,7.0,9.0,1.6,57,10.8,81,944,3,0.0
21/10/2016 05:00,18.4,9.0,31.0,18.0,18.0,0.9,43,11.2,80,944,3,0.0
21/10/2016 04:00,20.3,7.0,19.0,26.0,26.0,1.2,49,11.7,82,944,3,0.0
21/10/2016 03:00,19.5,8.0,18.0,22.0,23.0,1.5,50,12.5,85,944,3,0.0
21/10/2016 02:00,18.5,21.0,37.0,3.0,3.0,1.6,48,13.3,90,945,3,0.0
21/10/2016 01:00,18.6,13.0,29.0,9.0,8.0,1.1,55,14.0,92,945,3,0.0
21/10/2016 00:00,18.6,8.0,20.0,23.0,23.0,0.2,166,14.6,91,945,3,0.0
20/10/2016 23:00,18.7,10.0,27.0,16.0,17.0,0.6,173,14.4,92,945,3,0.0
20/10/2016 22:00,18.7,22.0,37.0,4.0,4.0,0.5,142,14.3,92,945,3,0.0
20/10/2016 21:00,19.2,32.0,47.0,3.0,3.0,0.4,123,14.4,92,945,3,0.0
20/10/2016 20:00,19.3,27.0,50.0,8.0,9.0,0.9,152,15.3,88,945,3,0.0
20/10/2016 19:00,19.1,83.0,74.0,1.0,1.0,0.5,112,16.3,86,945,3,0.2
20/10/2016 18:00,19.3,88.0,84.0,2.0,2.0,0.4,35,16.9,84,945,7,0.2
20/10/2016 17:00,19.4,21.0,46.0,28.0,27.0,0.7,271,17.7,75,945,36,0.2
20/10/2016 16:00,19.7,5.0,16.0,52.0,51.0,1.1,222,18.3,70,945,154,0.0
20/10/2016 15:00,19.6,10.0,22.0,45.0,44.0,1.2,195,18.5,71,945,397,0.0
20/10/2016 14:00,19.3,18.0,28.0,35.0,35.0,0.9,178,18.0,73,945,433,0.0
20/10/2016 13:00,19.1,23.0,36.0,24.0,24.0,0.4,251,16.8,78,946,251,0.0
20/10/2016 12:00,18.9,30.0,35.0,16.0,16.0,0.5,110,15.9,84,947,238,0.0
20/10/2016 11:00,19.0,45.0,37.0,10.0,10.0,0.7,71,14.7,88,947,237,0.0
20/10/2016 10:00,20.0,66.0,47.0,5.0,6.0,0.8,58,13.2,91,947,188,0.0
20/10/2016 09:00,19.3,45.0,45.0,4.0,4.0,1.3,48,12.3,95,947,64,5.0
20/10/2016 08:00,19.4,43.0,48.0,2.0,3.0,1.4,60,12.5,94,947,8,12.8
20/10/2016 07:00,18.6,58.0,40.0,1.0,2.0,1.3,60,13.7,94,947,3,5.0
20/10/2016 06:00,18.8,51.0,37.0,1.0,1.0,0.7,53,14.2,93,947,3,0.6
20/10/2016 05:00,18.9,27.0,37.0,1.0,1.0,0.4,48,14.4,93,947,3,0.0
20/10/2016 04:00,19.0,19.0,38.0,1.0,1.0,0.9,47,14.4,94,947,3,0.0
20/10/2016 03:00,19.1,27.0,42.0,1.0,1.0,0.7,48,14.6,95,948,3,0.0
20/10/2016 02:00,19.2,22.0,45.0,1.0,1.0,0.5,60,14.9,95,948,3,0.0
20/10/2016 01:00,19.2,21.0,42.0,1.0,1.0,0.3,46,15.2,94,949,3,0.0
20/10/2016 00:00,19.3,22.0,50.0,2.0,2.0,0.4,163,15.4,93,949,3,0.0
19/10/2016 23:00,19.1,60.0,53.0,1.0,1.0,0.3,109,15.6,93,949,3,0.0
19/10/2016 22:00,19.1,49.0,64.0,1.0,1.0,0.5,187,15.8,92,950,3,0.0
19/10/2016 21:00,19.1,73.0,64.0,1.0,1.0,0.2,137,16.0,91,949,3,0.0
19/10/2016 20:00,18.9,80.0,83.0,1.0,1.0,0.3,21,16.2,89,950,3,0.4
19/10/2016 19:00,19.1,54.0,81.0,5.0,4.0,0.3,231,16.9,82,950,3,0.6
19/10/2016 18:00,19.3,10.0,60.0,18.0,18.0,0.6,212,17.6,76,950,9,0.0
19/10/2016 17:00,19.4,13.0,53.0,30.0,29.0,0.8,238,18.0,73,950,64,0.0
19/10/2016 16:00,19.5,16.0,50.0,33.0,32.0,1.1,225,18.3,71,950,157,0.0
19/10/2016 15:00,19.5,17.0,43.0,36.0,35.0,0.8,215,18.6,70,951,293,0.0
19/10/2016 14:00,19.4,21.0,46.0,30.0,29.0,0.8,139,17.9,74,951,293,0.0
19/10/2016 13:00,19.3,21.0,44.0,31.0,30.0,0.5,53,17.5,75,952,242,0.0
19/10/2016 12:00,19.2,24.0,41.0,27.0,27.0,0.6,102,16.9,80,953,369,0.0
